BODEGA (COMERCIAL/INDUSTRIAL),CODIGO,LOTE,PRECIO1,PRECIO2,IVA(12/0/EX/NO)
COMERCIAL,7861028802631.4243.4241,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802631.4244.4244,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802631.4759.4759,COBERTOR HOTEL PIAZA SATEEN EGIPCIO M10 TC300 3-KING,163.7232,0,0
COMERCIAL,7861028802709.3884.3444,COBERTOR SULTAN TILO CRUDO 1.5-TWIN,107.25,0,0
COMERCIAL,7861028802709.3888.3444,COBERTOR SULTAN TILO CRUDO 1.5-TWIN,107.25,0,0
COMERCIAL,7861028802716.3884.3444,COBERTOR SULTAN TILO CRUDO 2-FULL,113.9286,0,0
COMERCIAL,7861028802723.3884.3444,COBERTOR SULTAN TILO CRUDO 2.5-QUEEN,123.6786,0,0
COMERCIAL,7861028802730.3884.3444,COBERTOR SULTAN TILO CRUDO 3-KING,132.2321,0,0
COMERCIAL,7861028802822.3022.4026,COBERTOR JACQUARD ALURE 2.5-QUEEN,140.0536,0,0
COMERCIAL,7861028802822.3043.3485,COBERTOR JACQUARD ALURE 2.5-QUEEN,140.0536,0,0
COMERCIAL,7861028802822.3048.2865,COBERTOR JACQUARD ALURE 2.5-QUEEN,140.0536,0,0
COMERCIAL,7861028802839.3022.4026,COBERTOR JACQUARD ALURE 3-KING,167.7232,0,0
COMERCIAL,7861028802839.3043.3485,COBERTOR JACQUARD ALURE 3-KING,167.7232,0,0
COMERCIAL,7861028802839.3048.2865,COBERTOR JACQUARD ALURE 3-KING,167.7232,0,0
COMERCIAL,7861028802907.3415.0000,COBERTOR NATURE DREAM ORIGINAL 1.5-TWIN,89.6339,0,0
COMERCIAL,7861028802907.3419.0000,COBERTOR NATURE DREAM ORIGINAL 1.5-TWIN,89.6339,0,0
COMERCIAL,7861028802907.3427.0000,COBERTOR NATURE DREAM ORIGINAL 1.5-TWIN,89.6339,0,0
COMERCIAL,7861028802907.4111.0000,COBERTOR NATURE DREAM ORIGINAL 1.5-TWIN,89.6339,0,0
COMERCIAL,7861028802907.4112.0000,COBERTOR NATURE DREAM ORIGINAL 1.5-TWIN,89.6339,0,0
COMERCIAL,7861028802914.3416.0000,COBERTOR NATURE DREAM ORIGINAL 2-FULL,109.9196,0,0
COMERCIAL,7861028802914.3420.0000,COBERTOR NATURE DREAM ORIGINAL 2-FULL,109.9196,0,0
COMERCIAL,7861028802914.4111.0000,COBERTOR NATURE DREAM ORIGINAL 2-FULL,109.9196,0,0
COMERCIAL,7861028802914.4112.0000,COBERTOR NATURE DREAM ORIGINAL 2-FULL,109.9196,0,0
COMERCIAL,7861028802921.3417.0000,COBERTOR NATURE DREAM ORIGINAL 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802921.3421.0000,COBERTOR NATURE DREAM ORIGINAL 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802921.3429.0000,COBERTOR NATURE DREAM ORIGINAL 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802921.4111.0000,COBERTOR NATURE DREAM ORIGINAL 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802921.4112.0000,COBERTOR NATURE DREAM ORIGINAL 2.5-QUEEN,116.0714,0,0
COMERCIAL,7861028802938.3422.0000,COBERTOR NATURE DREAM ORIGINAL 3-KING,132.75,0,0
COMERCIAL,7861028802938.4111.0000,COBERTOR NATURE DREAM ORIGINAL 3-KING,132.75,0,0
COMERCIAL,7861028802938.4112.0000,COBERTOR NATURE DREAM ORIGINAL 3-KING,132.75,0,0
COMERCIAL,7861028803003.3568.0000,COBERTOR JACQUARD PEGASO 1.5-TWIN,111.6607,0,0
COMERCIAL,7861028803003.3569.0000,COBERTOR JACQUARD PEGASO 1.5-TWIN,111.6607,0,0
COMERCIAL,7861028803003.3570.0000,COBERTOR JACQUARD PEGASO 1.5-TWIN,111.6607,0,0
COMERCIAL,7861028803010.3568.0000,COBERTOR JACQUARD PEGASO 2-FULL,117.9107,0,0
COMERCIAL,7861028803010.3569.0000,COBERTOR JACQUARD PEGASO 2-FULL,117.9107,0,0
COMERCIAL,7861028803010.3570.0000,COBERTOR JACQUARD PEGASO 2-FULL,117.9107,0,0
COMERCIAL,7861028803027.3568.0000,COBERTOR JACQUARD PEGASO 2.5-QUEEN,125.1607,0,0
COMERCIAL,7861028803027.3569.0000,COBERTOR JACQUARD PEGASO 2.5-QUEEN,125.1607,0,0
COMERCIAL,7861028803027.3570.0000,COBERTOR JACQUARD PEGASO 2.5-QUEEN,125.1607,0,0
